127.0.0.1 - - [07/Jan/2022:11:57:19 +0800] "GET / HTTP/1.1" 404 992
127.0.0.1 - - [07/Jan/2022:11:57:24 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 200 1807
127.0.0.1 - - [07/Jan/2022:11:57:24 +0800] "GET /MyWeb/BootStrap/... HTTP/1.1" 404 1030
127.0.0.1 - - [07/Jan/2022:11:57:24 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:11:57:24 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:11:57:24 +0800] "GET /MyWeb/css/bootstrap.min.css HTTP/1.1" 200 121457
127.0.0.1 - - [07/Jan/2022:11:57:24 +0800] "GET /MyWeb/BootStrap/... HTTP/1.1" 404 1030
127.0.0.1 - - [07/Jan/2022:11:57:24 +0800] "GET /MyWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [07/Jan/2022:12:03:27 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 200 2060
127.0.0.1 - - [07/Jan/2022:12:03:27 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:03:27 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:03:27 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 200 464900
127.0.0.1 - - [07/Jan/2022:12:03:27 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 200 389353
127.0.0.1 - - [07/Jan/2022:12:03:27 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 200 575219
127.0.0.1 - - [07/Jan/2022:12:07:01 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 200 2046
127.0.0.1 - - [07/Jan/2022:12:07:01 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:07:01 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:07:01 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:07:01 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:07:01 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:10:31 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 200 2114
127.0.0.1 - - [07/Jan/2022:12:10:31 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:10:31 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:10:31 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:10:31 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:10:31 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:11:03 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 200 2114
127.0.0.1 - - [07/Jan/2022:12:11:03 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:11:03 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:11:03 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:11:03 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:11:03 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:12:48 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 200 3660
127.0.0.1 - - [07/Jan/2022:12:12:48 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:12:48 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:12:48 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:12:48 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:12:48 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:17:36 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 200 3678
127.0.0.1 - - [07/Jan/2022:12:17:36 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:17:36 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:17:36 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:17:36 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:17:36 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:25:51 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:25:51 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:25:51 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:25:51 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 200 24354
127.0.0.1 - - [07/Jan/2022:12:25:51 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 200 32696
127.0.0.1 - - [07/Jan/2022:12:25:51 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 200 22386
127.0.0.1 - - [07/Jan/2022:12:26:06 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
