127.0.0.1 - - [12/Dec/2021:11:16:49 +0800] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:16:50 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:16:50 +0800] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:18:51 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:19:56 +0800] "GET /MyWeb/Study.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:19:57 +0800] "GET /MyWeb/Study.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:19:57 +0800] "GET /MyWeb/Study.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:20:05 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:21:18 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:23:21 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:23:41 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:25:22 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:25:47 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:28:33 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:31:13 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:35:00 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:35:16 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:35:17 +0800] "GET /MyWeb/Study.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:40:50 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:40:50 +0800] "GET /%E6%B9%96%E5%B7%A5%E4%BA%8C%E7%BB%B4%E7%A0%81.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:41:19 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:41:19 +0800] "GET /img/%E6%B9%96%E5%B7%A5%E4%BA%8C%E7%BB%B4%E7%A0%81.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:41:26 +0800] "GET /MyWeb/Study.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:41:26 +0800] "GET /img/%E6%B9%96%E5%B7%A5%E4%BA%8C%E7%BB%B4%E7%A0%81.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:41:32 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:41:32 +0800] "GET /MyWeb/img/%E6%B9%96%E5%B7%A5%E4%BA%8C%E7%BB%B4%E7%A0%81.jpg HTTP/1.1" 200 28467
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:42:14 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:42:14 +0800] "GET /MyWeb/img/%E6%B9%96%E5%B7%A5%E4%BA%8C%E7%BB%B4%E7%A0%81.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:42:24 +0800] "GET /MyWeb/Study.html HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:43:05 +0800] "GET /MyWeb/Study.html HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:43:11 +0800] "GET /MyWeb/Study.html HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:43:26 +0800] "GET /MyWeb/Study1.html HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:43:26 +0800] "GET /MyWeb/img/%E6%B9%96%E5%B7%A5%E4%BA%8C%E7%BB%B4%E7%A0%81.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:46:39 +0800] "GET /MyWeb/Study1.html HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [12/Dec/2021:11:46:39 +0800] "GET /MyWeb/img/%E6%B9%96%E5%B7%A5%E4%BA%8C%E7%BB%B4%E7%A0%81.jpg HTTP/1.1" 304 -
