127.0.0.1 - - [09/Jan/2022:10:59:18 +0800] "GET / HTTP/1.1" 404 992
127.0.0.1 - - [09/Jan/2022:10:59:21 +0800] "GET /MyWeb/BootStrap/%E5%B8%83%E5%B1%80%E5%AE%B9%E5%99%A8&%E6%8E%92%E7%89%88%E5%AF%B9%E9%BD%90.html HTTP/1.1" 200 1396
127.0.0.1 - - [09/Jan/2022:10:59:21 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:10:59:21 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:10:59:21 +0800] "GET /MyWeb/img/%E6%B9%96%E5%B7%A5logo.jpg HTTP/1.1" 200 5559
127.0.0.1 - - [09/Jan/2022:10:59:21 +0800] "GET /MyWeb/css/bootstrap.min.css HTTP/1.1" 200 121457
127.0.0.1 - - [09/Jan/2022:10:59:36 +0800] "GET /MyWeb/BootStrap/%E5%B8%83%E5%B1%80%E5%AE%B9%E5%99%A8&%E6%8E%92%E7%89%88%E5%AF%B9%E9%BD%90.html HTTP/1.1" 200 1404
127.0.0.1 - - [09/Jan/2022:10:59:36 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:10:59:36 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:10:59:36 +0800] "GET /MyWeb/img/%E6%B9%96%E5%B7%A5logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:03:44 +0800] "GET /MyWeb/BootStrap/BootStrap%E8%A1%A8%E5%8D%95.html HTTP/1.1" 200 729
127.0.0.1 - - [09/Jan/2022:11:06:08 +0800] "GET /MyWeb/BootStrap/BootStrap%E8%A1%A8%E5%8D%95.html HTTP/1.1" 200 1734
127.0.0.1 - - [09/Jan/2022:11:06:08 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:06:08 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:10:41 +0800] "GET /MyWeb/BootStrap/BootStrap%E8%A1%A8%E5%8D%95.html HTTP/1.1" 200 1843
127.0.0.1 - - [09/Jan/2022:11:10:41 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:10:41 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:11:46 +0800] "GET /MyWeb/BootStrap/BootStrap%E8%A1%A8%E5%8D%95.html HTTP/1.1" 200 1843
127.0.0.1 - - [09/Jan/2022:11:11:46 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:11:46 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:11:48 +0800] "GET /MyWeb/BootStrap/BootStrap%E8%A1%A8%E5%8D%95.html? HTTP/1.1" 200 1843
127.0.0.1 - - [09/Jan/2022:11:12:33 +0800] "GET /MyWeb/BootStrap/BootStrap%E8%A1%A8%E5%8D%95.html? HTTP/1.1" 200 1842
127.0.0.1 - - [09/Jan/2022:11:12:33 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:12:33 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:13:19 +0800] "GET /MyWeb/BootStrap/BootStrap%E8%A1%A8%E5%8D%95.html? HTTP/1.1" 200 1872
127.0.0.1 - - [09/Jan/2022:11:13:19 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:13:19 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:16:25 +0800] "GET /MyWeb/BootStrap/BootStrap%E8%A1%A8%E5%8D%95.html? HTTP/1.1" 200 2229
127.0.0.1 - - [09/Jan/2022:11:16:25 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:16:25 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:17:54 +0800] "GET /MyWeb/BootStrap/BootStrap%E8%A1%A8%E5%8D%95.html? HTTP/1.1" 200 2278
127.0.0.1 - - [09/Jan/2022:11:17:55 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:17:55 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:19:58 +0800] "GET /MyWeb/BootStrap/BootStrap%E8%A1%A8%E5%8D%95.html? HTTP/1.1" 200 2580
127.0.0.1 - - [09/Jan/2022:11:19:58 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:19:58 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:20:30 +0800] "GET /MyWeb/BootStrap/BootStrap%E8%A1%A8%E5%8D%95.html? HTTP/1.1" 200 2611
127.0.0.1 - - [09/Jan/2022:11:20:30 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:20:30 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:24:23 +0800] "GET /MyWeb/BootStrap/%E5%88%86%E9%A1%B5%E6%9D%A1.html HTTP/1.1" 200 1149
127.0.0.1 - - [09/Jan/2022:11:26:57 +0800] "GET /MyWeb/BootStrap/%E5%88%86%E9%A1%B5%E6%9D%A1.html HTTP/1.1" 200 1279
127.0.0.1 - - [09/Jan/2022:11:26:57 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:26:57 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:27:12 +0800] "GET /MyWeb/BootStrap/%E5%88%86%E9%A1%B5%E6%9D%A1.html HTTP/1.1" 200 1279
127.0.0.1 - - [09/Jan/2022:11:27:12 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:27:12 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:28:56 +0800] "GET /MyWeb/BootStrap/%E5%88%86%E9%A1%B5%E6%9D%A1.html HTTP/1.1" 200 1365
127.0.0.1 - - [09/Jan/2022:11:28:56 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:28:56 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:29:17 +0800] "GET /MyWeb/BootStrap/%E5%88%86%E9%A1%B5%E6%9D%A1.html HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:29:17 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:29:17 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:29:18 +0800] "GET /MyWeb/BootStrap/%E5%88%86%E9%A1%B5%E6%9D%A1.html HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:29:18 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:29:18 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:32:40 +0800] "GET /MyWeb/BootStrap/%E5%88%86%E9%A1%B5%E6%9D%A1.html HTTP/1.1" 200 1534
127.0.0.1 - - [09/Jan/2022:11:32:40 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:32:40 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:33:12 +0800] "GET /MyWeb/BootStrap/%E5%88%86%E9%A1%B5%E6%9D%A1.html HTTP/1.1" 200 1534
127.0.0.1 - - [09/Jan/2022:11:33:12 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2022:11:33:12 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
